Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
-0.7213,0.0049,0.8032,5.5300,182.3500,-31.5000
-0.7261,0.0517,0.8198,10.7800,164.5000,-28.3500
-0.7135,0.0712,0.7906,16.0300,149.2400,-22.8900
-0.7222,0.0259,0.8047,17.9200,130.4100,-19.6000
-0.7593,-0.0239,0.7681,19.3200,115.0800,-19.1800
-0.7715,-0.0307,0.7618,14.4200,98.7700,-21.0700
-0.8169,-0.0420,0.7867,6.7900,85.6100,-23.3800
-0.8701,-0.0098,0.8150,3.6400,66.4300,-24.7100
-0.8872,0.0268,0.8325,-6.3000,46.9000,-25.4100
-0.9038,0.0473,0.8389,-10.2200,20.3000,-24.3600
-0.8599,0.0942,0.8716,-9.5900,-3.0800,-20.6500
-0.8603,0.1191,0.8628,-12.8800,-32.7600,-14.2800
-0.8462,0.0508,0.8647,-13.5800,-58.8700,-11.6900
-0.8433,-0.0371,0.8603,-18.4100,-77.8400,-11.9000
-0.8008,-0.0825,0.8179,-23.8700,-99.8900,-12.3900
-0.7784,-0.1405,0.8359,-25.9000,-116.7600,-14.4200
-0.7774,-0.1293,0.8716,-22.3300,-138.6700,-14.2800
-0.7954,-0.0644,0.9096,-17.7800,-155.4700,-11.3400
-0.8154,-0.0190,0.9697,-13.7200,-178.4300,-7.4900
-0.8223,0.0332,0.9736,-5.0400,-197.3300,-0.4900
-0.7774,-0.0078,0.9906,2.8000,-221.9700,4.9000
-0.7662,-0.0346,0.9936,6.3000,-240.1000,7.9100
-0.7008,-0.0820,0.9770,4.3400,-257.9500,10.0100
-0.6481,-0.1937,0.9462,-0.0700,-267.8900,7.3500
-0.5788,-0.2098,0.9706,-0.1400,-277.3400,5.3200
-0.5305,-0.1752,0.9350,4.9700,-281.9600,5.8100
-0.4207,-0.1532,0.8886,12.0400,-287.2100,7.9100
-0.3528,-0.1620,0.7652,37.9400,-284.8300,10.9200
-0.2752,-0.0913,0.7627,47.3900,-279.1600,15.1900
-0.2469,-0.0830,0.7549,51.9400,-270.1300,17.4300
-0.1889,-0.0093,0.7374,47.9500,-258.2300,21.2100
-0.1405,-0.0137,0.7774,41.3700,-245.0000,22.8900
-0.1410,-0.0439,0.8233,37.8000,-236.8100,22.3300
-0.1362,-0.0698,0.9472,36.8200,-230.6500,18.9700
-0.1357,-0.0171,1.0419,30.8000,-229.1800,14.9100
-0.0888,0.0005,0.9667,28.4200,-228.4100,14.0000
-0.0039,0.0156,0.9457,21.5600,-225.6100,14.8400
0.1020,-0.0112,0.8506,15.8900,-218.3300,15.1200
0.1171,-0.0415,0.7632,13.0200,-208.6700,13.6500
0.1854,-0.0615,0.7940,5.4600,-196.2800,10.9200
